priority,family,dataset_name,title_en,issued,metadata_modified,formats,resource_count,first_resource_url,catalog_url
P1,ev_mobility,ladebedarf-bestand-an-steckerfahrzeugen-fur-das-jahr-2035,Charging requirements: stock of plug-in vehicles for the year 2035,2023-12-31T00:00:00,2026-05-11T08:51:41.660806,"HTML,OCTET,XML",11,https://data.geo.admin.ch/browser/index.html#/collections/ch.bfe.ladebedarfswelt/items/ladebedarfswelt,https://opendata.swiss/en/dataset/ladebedarf-bestand-an-steckerfahrzeugen-fur-das-jahr-2035
P1,ev_mobility,ladebedarf-heimladeverfugbarkeit-in-der-ladewelt-bequem-fur-das-jahr-2035,Charging requirements: Home charging availability in the ‘Convenient’ charging world for the year 2035,2023-12-31T00:00:00,2026-05-11T08:53:25.032202,"HTML,OCTET,XML",11,https://data.geo.admin.ch/browser/index.html#/collections/ch.bfe.ladebedarfswelt/items/ladebedarfswelt,https://opendata.swiss/en/dataset/ladebedarf-heimladeverfugbarkeit-in-der-ladewelt-bequem-fur-das-jahr-2035
P1,ev_mobility,ladebedarf-heimladeverfugbarkeit-in-der-ladewelt-flexibel-fur-das-jahr-2035,Charging requirements: Home charging availability in the ‘Flexible’ charging world for the year 2035,2023-12-31T00:00:00,2026-05-11T08:49:57.572425,"HTML,OCTET,XML",11,https://data.geo.admin.ch/browser/index.html#/collections/ch.bfe.ladebedarfswelt/items/ladebedarfswelt,https://opendata.swiss/en/dataset/ladebedarf-heimladeverfugbarkeit-in-der-ladewelt-flexibel-fur-das-jahr-2035
P1,ev_mobility,ladebedarf-heimladeverfugbarkeit-in-der-ladewelt-geplant-fur-das-jahr-2035,Charging requirements: Home charging availability in the charging world ‘Planned’ for the year 2035,2023-12-31T00:00:00,2026-05-11T08:52:42.287905,"HTML,OCTET,XML",11,https://data.geo.admin.ch/browser/index.html#/collections/ch.bfe.ladebedarfswelt/items/ladebedarfswelt,https://opendata.swiss/en/dataset/ladebedarf-heimladeverfugbarkeit-in-der-ladewelt-geplant-fur-das-jahr-2035
P1,ev_mobility,ladestationen-fuer-elektroautos,Charging points for electric cars,2019-09-25T00:00:00,2025-12-11T04:00:48.921400,JSON,2,https://data.geo.admin.ch/ch.bfe.ladestellen-elektromobilitaet/data/oicp/ch.bfe.ladestellen-elektromobilitaet.json,https://opendata.swiss/en/dataset/ladestationen-fuer-elektroautos
P1,"ev_mobility,demand_buildings",ladebedarfsszenarien,Charging requirement scenarios,2024-05-06T00:00:00,2026-05-11T08:49:32.503147,OCTET,13,https://data.geo.admin.ch/ch.bfe.ladebedarfswelt/ladebedarfswelt/ladebedarfswelt-fahrzeuge_2056.gpkg,https://opendata.swiss/en/dataset/ladebedarfsszenarien
P1,prices_market,preisszenarien-fur-die-investitionsbeitrage-wasserkraft-und-biomasse,,2022-06-01T00:00:00,2025-12-11T04:00:37.664785,"CSV,SERVICE",2,https://www.uvek-gis.admin.ch/BFE/ogd/94/ogd94_preisszenarien_inv_wasserkraft_biomasse.csv,https://opendata.swiss/en/dataset/preisszenarien-fur-die-investitionsbeitrage-wasserkraft-und-biomasse
P1,prices_market,referenz-marktpreise-2015-2017-gemass-art-15-enfv-gemass-art-3b-bis-abs-2-und-3-env,,2021-07-30T00:00:00,2026-04-16T05:50:46.614345,CSV,1,https://www.bfe-ogd.ch/ogd60_rmp_2015_2017.zip,https://opendata.swiss/en/dataset/referenz-marktpreise-2015-2017-gemass-art-15-enfv-gemass-art-3b-bis-abs-2-und-3-env
P1,prices_market,referenz-marktpreise-2018-2023-gemass-art-15-enfv,,2023-10-10T00:00:00,2026-04-17T06:44:46.800481,CSV,1,https://www.bfe-ogd.ch/ogd60_rmp_2018_2023_csv.zip,https://opendata.swiss/en/dataset/referenz-marktpreise-2018-2023-gemass-art-15-enfv
P1,prices_market,referenz-marktpreisegemass-2007-2014-art-3-f-abs-3-env,,,2026-04-16T05:50:48.161913,CSV,1,https://www.bfe-ogd.ch/ogd60_rmp_2007_2014.zip,https://opendata.swiss/en/dataset/referenz-marktpreisegemass-2007-2014-art-3-f-abs-3-env
