date,hour,price_lear,price_p10,price_p90,n_windows,mlp_used,fm_used,fm_raw_price,timestamp,days_ahead
2026-03-28,0,142.73845629643444,127.02257956869789,140.89920600350723,5,True,True,142.0815887451172,2026-03-27 23:00:00+00:00,1
2026-03-28,1,139.91642858148825,131.10519741268692,141.6065172678689,5,True,True,139.89085388183594,2026-03-28 00:00:00+00:00,1
2026-03-28,2,139.29921657882795,123.15425483640007,121.07743529953541,5,True,True,138.580810546875,2026-03-28 01:00:00+00:00,1
2026-03-28,3,138.68560744646038,112.97655297651613,129.58114197691177,5,True,True,139.27969360351562,2026-03-28 02:00:00+00:00,1
2026-03-28,4,136.34643047361743,119.17298811025177,129.22362539854961,5,True,True,141.893310546875,2026-03-28 03:00:00+00:00,1
2026-03-28,5,141.80556514116643,119.98961629147078,135.2356821572335,5,True,True,147.5791473388672,2026-03-28 04:00:00+00:00,1
2026-03-28,6,144.11147242231823,134.95126659214003,170.3713051135408,5,True,True,150.04322814941406,2026-03-28 05:00:00+00:00,1
2026-03-28,7,148.81581493741314,119.17214880854453,132.18135524710075,5,True,True,147.38287353515625,2026-03-28 06:00:00+00:00,1
2026-03-28,8,143.3841641259495,117.74915811614599,142.4696854240266,5,True,True,143.5869140625,2026-03-28 07:00:00+00:00,1
2026-03-28,9,137.2613980140191,107.63627795945314,143.80907783420582,5,True,True,139.0773468017578,2026-03-28 08:00:00+00:00,1
2026-03-28,10,125.46484358639985,94.55033143497016,137.8688019462928,5,True,True,134.32565307617188,2026-03-28 09:00:00+00:00,1
2026-03-28,11,109.96219773707071,75.71583323361051,139.51157770136098,5,True,True,129.06036376953125,2026-03-28 10:00:00+00:00,1
2026-03-28,12,98.21582712614533,43.63643410681688,124.47982445830498,5,True,True,129.25050354003906,2026-03-28 11:00:00+00:00,1
2026-03-28,13,102.73789278374417,65.15883257945237,118.37137379891729,5,True,True,131.65652465820312,2026-03-28 12:00:00+00:00,1
2026-03-28,14,100.97303899187592,52.371794524361746,135.84506999543785,5,True,True,136.6898651123047,2026-03-28 13:00:00+00:00,1
2026-03-28,15,125.00008276085796,94.2472462470624,138.57701760283172,5,True,True,140.8965606689453,2026-03-28 14:00:00+00:00,1
2026-03-28,16,140.64160856001644,116.23594412808212,142.10060850650882,5,True,True,146.98521423339844,2026-03-28 15:00:00+00:00,1
2026-03-28,17,152.79657911424346,128.01046039855174,177.91548029332836,5,True,True,151.33444213867188,2026-03-28 16:00:00+00:00,1
2026-03-28,18,154.46653784255975,133.21602288375186,160.7210427031619,5,True,True,152.39756774902344,2026-03-28 17:00:00+00:00,1
2026-03-28,19,154.94443208382768,143.37346408955818,195.42770459912555,5,True,True,146.91934204101562,2026-03-28 18:00:00+00:00,1
2026-03-28,20,142.85335430895748,133.6798621888045,149.92493952709995,5,True,True,143.62228393554688,2026-03-28 19:00:00+00:00,1
2026-03-28,21,141.52520852845325,126.42286413831124,142.31638093394105,5,True,True,141.0238037109375,2026-03-28 20:00:00+00:00,1
2026-03-28,22,139.91512191411584,127.31368584867329,151.63956361921925,5,True,True,139.4397735595703,2026-03-28 21:00:00+00:00,1
2026-03-28,23,135.11160829424293,120.46489194779494,140.49105523075903,5,True,True,138.56471252441406,2026-03-28 22:00:00+00:00,1
2026-03-29,0,140.35158674501255,128.18619346552242,147.42065960441818,5,True,True,138.0035858154297,2026-03-28 23:00:00+00:00,2
2026-03-29,1,139.41509704416632,139.43834766405467,159.85675476669718,5,True,True,136.66482543945312,2026-03-29 00:00:00+00:00,2
2026-03-29,2,138.70012313945887,118.32264192489158,137.37504391290454,5,True,True,135.7686767578125,2026-03-29 01:00:00+00:00,2
2026-03-29,3,140.02330960611414,117.12091242973531,140.2813164378046,5,True,True,135.7752685546875,2026-03-29 01:00:00+00:00,2
2026-03-29,4,136.41633657266334,122.46605227722924,146.73154022307867,5,True,True,136.6310577392578,2026-03-29 02:00:00+00:00,2
2026-03-29,5,139.53547217614414,126.6710748820814,154.74033042224985,5,True,True,139.16839599609375,2026-03-29 03:00:00+00:00,2
