year,month,mean_eur_mwh,min_eur_mwh,max_eur_mwh,rows
2026,6,95.58999999722222,19.152144,144.88259,360
2026,7,93.94999999596773,21.712526,136.226753,744
2026,8,92.86000000537634,22.217879,140.918264,744
2026,9,105.48000000138889,28.599006,159.774213,720
2026,10,116.68000000402685,40.238339,165.027359,745
2026,11,137.99999999861112,89.953494,182.723995,720
2026,12,136.57000002553764,101.407194,180.612743,744
2027,1,128.68246158198926,89.731499,169.967802,744
2027,2,141.07089798511905,101.824409,176.655936,672
2027,3,116.59895642934052,72.343137,166.612553,743
2027,4,81.21632061111112,10.557075,174.152497,720
2027,5,73.66602314784947,10.473955,141.436027,744
2027,6,62.70012172361111,9.553347,99.672649,720
2027,7,74.68439848790322,27.502965,111.435886,744
2027,8,61.83955646236559,21.068606,104.487081,744
2027,9,90.39724635555557,40.939619,125.943707,720
2027,10,89.92563982550337,43.856988,121.89987,745
2027,11,117.20826484722222,71.773244,153.028409,720
2027,12,115.04968753494623,81.063035,148.785378,744
2028,1,107.50181808870968,80.380755,143.479059,744
2028,2,125.4246565229885,99.810337,153.621646,696
2028,3,102.25312092193809,63.516416,147.675135,743
2028,4,51.75457730833333,12.01684,100.421563,720
2028,5,43.404393676075266,7.336111,70.642864,744
2028,6,39.61760708055556,4.104999,70.375671,720
2028,7,62.858642782258066,13.336865,90.486474,744
2028,8,47.285139838709675,7.02594,79.485617,744
2028,9,76.80974699444444,24.91483,99.377345,720
2028,10,85.62963521744966,43.895149,120.966274,745
2028,11,112.72602707638889,79.403948,141.966255,720
2028,12,106.19043709274193,75.524764,136.776676,744
2029,1,76.23662552688172,57.668691,102.049881,744
2029,2,94.8945072485119,75.167394,116.681047,672
2029,3,76.08186458411843,49.318248,110.341011,743
2029,4,50.77503717777778,11.70842,88.119645,720
2029,5,42.5317818844086,6.578045,69.970893,744
2029,6,38.8359258,3.984946,68.769409,720
2029,7,62.32067008333334,13.20881,91.855209,744
2029,8,46.15037705107527,6.480881,77.155959,744
2029,9,77.55872772916668,23.509637,101.831358,720
2029,10,85.82915009127517,46.820054,117.711851,745
2029,11,109.91397685555556,81.7469,136.304018,720
2029,12,103.54429286424731,74.925707,130.750987,744
2030,1,71.22385605510753,54.413942,95.945704,744
2030,2,90.71745775595238,71.04406,111.045464,672
2030,3,71.70425995962314,43.309599,105.084257,743
2030,4,48.640422238888895,9.696701,78.353277,720
2030,5,40.713023205645165,6.248948,67.631579,744
2030,6,37.12611394305555,3.568896,69.237782,720
2030,7,60.05896183870968,15.674576,89.183681,744
2030,8,44.369796321236564,5.754387,77.985376,744
2030,9,76.22851354305556,21.493874,100.915994,720
2030,10,83.99190758657718,44.968108,114.173387,745
2030,11,104.70856878750001,79.019087,129.897197,720
2030,12,98.65402069354839,67.243514,125.042369,744
